word_id,Topic,Topic_Frequency
11431,8,3.0251582e-05
20590,4,7.239496e-05
24065,3,1.143767e-05
24065,4,7.242093e-05
21205,0,0.0020940418
21205,1,0.0008536059
21205,2,0.0025659942
21205,3,0.0011944509
21205,4,0.0016354991
21205,5,0.0012155818
21205,6,0.0016357261
21205,7,0.0018286125
21205,8,0.0026260433
21205,9,0.0005583179
21784,0,0.00040377208
21784,1,1.48753045e-08
21784,2,8.0049285e-05
21784,3,0.00013874596
21784,4,0.0002375125
21784,5,0.00044336505
21784,6,0.0007642419
21784,7,0.00088947173
21784,8,0.0011480653
21784,9,0.00028074512
11482,0,0.0025141218
11482,1,0.00054532546
11482,2,0.0037702478
11482,3,0.00068785937
11482,4,0.00046023494
11482,5,0.0018730563
11482,6,0.00036606635
11482,7,0.0020122405
11482,8,0.0012828881
11482,9,0.0019013843
16171,0,0.000999416
16171,1,0.00091897213
16171,2,0.005945364
16171,3,0.0026214207
16171,4,0.0006328194
16171,5,0.003289615
16171,6,0.0012524874
16171,7,0.004026308
16171,8,0.002641987
16171,9,0.0050359555
14622,0,0.00018073084
14622,1,0.00010535454
14622,2,0.00043457944
14622,3,0.0001109702
14622,4,0.0002611761
14622,5,0.0004301631
14622,6,0.00026967522
14622,7,0.00038283388
14622,8,0.000168122
14622,9,0.00050750974
17597,0,3.5601526e-05
17597,1,3.6148872e-08
17597,2,0.001017064
17597,3,0.00028903302
17597,4,0.000105817126
17597,5,0.00079155446
17597,6,6.605197e-05
17597,7,5.9376234e-06
17597,9,0.00097110815
23275,0,0.0012040787
23275,1,0.0028403979
23275,2,0.0051042205
23275,3,0.002528527
23275,4,0.00045310112
23275,5,0.006048376
23275,6,0.0019387437
23275,7,0.0026175322
23275,8,0.0016710266
23275,9,0.010222041
390,0,6.401995e-05
390,2,2.0645395e-05
390,4,5.0672406e-05
390,5,0.00015859981
390,6,5.347516e-05
390,7,5.2106552e-05
390,9,8.305762e-05
17905,0,2.5300815e-05
17905,3,6.554535e-08
17905,4,0.00011065053
17905,5,0.0010745733
17905,6,6.0187132e-05
17905,7,0.00015660368
19601,0,0.0005018353
19601,1,0.0005096693
19601,2,0.0012365916
19601,3,0.0012681561
19601,4,0.00091193116
19601,5,0.0013691221
19601,6,0.00055644737
19601,7,0.001053469
19601,8,0.0009984318
19601,9,0.0006494498
15689,0,4.7073154e-08
15689,1,1.9735241e-08
15689,2,0.0002198174
15689,3,0.00017196157
15689,4,7.0973925e-07
15689,5,0.0029087532
15689,6,0.00020894864
15689,9,6.938863e-05
23244,0,0.0010560618
23244,1,0.00052994164
23244,2,0.006107606
23244,3,0.0037640685
23244,4,0.0016979056
23244,5,0.010261153
23244,6,0.007086846
23244,7,0.0037788944
23244,8,0.0010221129
23244,9,0.010669754
13323,0,0.008034199
13323,1,0.0017862961
